,,,37th FIG RHYTHMIC GYMNASTICS WORLD CHAMPIONSHIPS,,,,,,,,,,,,
",,,,,""Baku (AZE), 16-22 September 2019"",,,,,,,,,,"
,,,,,,Individual Clubs Final,,,,,,,,,
,,,,,,,THU 19 SEP 2019,,,,,,,,
,,,,,,,Results,,,,,,,,
,,,,,NOC,,D,,E,Deduction,Qualification,Start,,,
,Rank,Name,,,,,,,,,Pen.,Total,,,
,,,,,Code,,Score,,DADB,Score,EA,ET,Rank Order,,
,1,AVERINA Dina,,,RUS,,14.8,4.9,9.9,9,-0.4,-0.600,23.8,2,8
,2,ASHRAM Linoy,,,ISR,,14.6,5.4,9.2,8.7,-0.5,-0.800,23.3,3,1
,3,NIKOLCHENKO Vlada,,,UKR,,13.8,5.9,7.9,8.55,-0.7,-0.750,22.35,4,4
,4,AVERINA Arina,,,RUS,,13.6,5.1,8.5,8.45,-0.5,-1.050,22.05,1,3
,5,AGIURGIUCULESE Alexandra,,,ITA,,13.4,5.2,8.2,8.5,-0.5,-1.000,21.9,7,2
,6,HARNASKO Alina,,,BLR,,13.1,4.8,8.3,8.5,-0.6,-0.900,21.6,9,5
,7,ZELIKMAN Nicol,,,ISR,,12.9,4.2,8.7,7.95,-0.9,-1.150,20.85,6,6
,8,HALKINA Katsiaryna,,,BLR,,12.7,4.8,7.9,8.1,-0.7,-1.200,20.8,8,7
